post_id,tweet_text,status
6.38E+17,remember hillary email non secure server ,normal
6.38E+17,cant avoid demon ,normal
6.38E+17,por fin la pusieron en spotify losing way de fkj ft tom misch ,normal
6.38E+17,kills ,normal
6.38E+17,thank introduce important gunsense law make country safer ,normal
6.38E+17,really dislike courtney love think northwest thing ,normal
6.38E+17,twitter thing thelittlecustoms insta ,normal
6.38E+17,valentines day youre gettinglocked chastity ,normal
6.38E+17,yk hear know take name tho ,normal
6.38E+17,yeah bc ur also one ,normal
6.38E+17,dis ,normal
6.38E+17,20 gcash 45 min follow amp retweet amp like retweet ,normal
6.38E+17,gods grace thanks chief ,normal
6.38E+17,oh god happen time annoying ,normal
6.37E+17,watch roll less channel use ,normal
6.37E+17,lmfaoooo holler ,normal
6.37E+17,rinu officially step lagos judicial sars panel reopening lekki tollgate huge br ,normal
6.37E+17,end scene guess ,normal
6.37E+17,yo happy birthday bud ,normal
6.37E+17,point boondocks start dialogue lol ,normal
6.37E+17,victim victim mazhabi hindu ,normal
6.37E+17,wait cyro cryo ,normal
6.37E+17,good jj watt could houston franchise greatest defensive player discussion ,normal
6.37E+17,watching opindias reporting incident many horrify truth within 10 minute video killer ,normal
6.37E+17,xtz vet link ,normal
6.36E+17,oh slippy ,normal
6.36E+17,today bill russells 87th birthday celebrate pioneer fearlessly integrate league legend excel ,normal
6.36E+17,relationship mom ,normal
6.36E+17,tag best friend amp like follow us retweet post last winner hellcase csgo csgoskin c ,normal
6.36E+17,want someone stay matter hard ,normal
6.36E+17,birth 5 matters guidance sector sector 2nd draft guidance consultation till feb 26 ,normal
6.36E+17,used laslow_memebot ,normal
6.36E+17,brits back boris keir tackle pandemic building strong economy show leadership foreign policy ,normal
6.36E+17,request fridaylivestream music give wing soul 85 dimashnumber1 ,normal
6.36E+17,queen ,normal
6.36E+17,innalillahi wa inna ilaihi rajiun within 24hrs lose 2 room amp falours single room amp store 8x time fire outbreak ,normal
6.36E+17,thing ancient think ,normal
6.36E+17,100 constitutional lawyer across political spectrum agree president first amendment righ ,normal
6.36E+17,still one favorite play time ,normal
6.36E+17,fbi still seek information people involve violence us capitol january 6 know ,normal
6.36E+17,apparently dont take knee youre racist well im massive racist ,normal
6.36E+17,first major championship win mortysstewardship cm0102 england ,normal
6.36E+17,ecc 113 rich man find hell contemplate wasted day earth midnight ,normal
6.36E+17,us get spend upcoming valentines day loved one many cant tell joe biden ,normal
6.36E+17,76 days go advance happy birthday thala valimai thalaajith ,normal
6.36E+17,release mine last month im proud ,normal
6.36E+17,yeah tough beat ,normal
6.36E+17,love every second every day end forever ,normal
6.36E+17,3600 per kid ,normal
6.36E+17,dedicate im sorry calum love song 8yearsofheartbreakgirl ,normal
6.36E+17,everything video interest ,normal
6.35E+17,love music video ,normal
6.35E+17,case dont know difference ,normal
6.35E+17,intend sex weekend please care sexual health partner also use effective b ,normal
6.35E+17,belong museum ,normal
6.35E+17,wanna smoke mf ,normal
6.35E+17,protocontroversy around lawfare piece speed come expla ,normal
6.35E+17,eudy simelane international footballer murder gay ,normal
6.35E+17,wishing happy lunar new year lets join ox friends share strong determination make ,normal
6.35E+17,theres nothing like girl night watch hotel party 3435 ,normal
6.35E+17,thats dream woman ,normal
6.35E+17,kid support youtube channel long remember want wash car save h ,normal
6.35E+17,tonight night die ,normal
6.35E+17,tend play mind lot specifically anxiety level high ,normal
6.35E+17,wow lol business im offend ,normal
6.35E+17,saw clip late night masala rkv really win heart moment tell devo rakhi jo aap soch h ,normal
6.35E+17,dont know really love smell petrol ,normal
6.35E+17,cardib dey cruise rich people get problem ,normal
6.35E+17,well sandra smith feel chris ,normal
6.35E+17,yall robin flustered like ,normal
6.35E+17,okay something perfect try guess rahulvaidya ace l ,normal
6.35E+17,well well small mind yoon doesnt understand meaning postpone commit ,normal
6.35E+17,washington move ,normal
6.35E+17,finally get one ft call without wifi disconnecting ,normal
6.35E+17,nice advice deer ,normal
6.35E+17,u put serotonin nitro cold brew morning ,normal
6.35E+17,confirmed source close house managers tell david schoen tell truth say trumps lawyer ,normal
